# Clause and subclause structure of ISO/IEC 39075:2024 (GQL), edition 1.
#
# Unlike features.xml, conditions.xml and the grammar, ISO publishes no
# machine-readable artifact for the document's own structure — and mandatory
# features carry no feature code, so the subclause number is the only handle a
# conformance claim has on them. This file supplies that handle.
#
# It is transcribed from the table of contents in the publicly downloadable
# preview of the standard:
#   https://cdn.standards.iteh.ai/samples/76120/a5695073ca0a485c9929f50970f4c862/ISO-IEC-39075-2024.pdf
# (contents pages iii-xi), which ISO and its resellers publish free of charge.
# Only numbers and titles are reproduced: no normative text of the standard is
# copied here, and none is needed — a corpus cites a subclause, it does not
# quote it.
#
# Format is "number<TAB>title", one per line, in document order. Titles keep
# the standard's own spelling, including the angle brackets it puts around
# syntactic elements, so a report can be read next to the document.
#
# A number in this file is not a promise that gql-compat tests it. It is the
# denominator: the report says how many of these a run actually exercised.

7.2	<session reset command>
7.3	<session close command>
7.4	<session parameter specification>
8	Transaction management
8.1	<start transaction command>
8.2	<transaction characteristics>
8.3	<rollback command>
8.4	<commit command>
9	Procedure specification
9.1	<procedure specification>
9.2	<procedure body>
10	Variable definitions
10.1	<graph variable definition>
10.2	<binding table variable definition>
10.3	<value variable definition>
11	Object expressions
11.1	<graph expression>
11.2	<binding table expression>
11.3	<object expression primary>
12	Catalog-modifying statements
12.1	<linear catalog-modifying statement>
12.2	<create schema statement>
12.3	<drop schema statement>
12.4	<create graph statement>
12.5	<drop graph statement>
12.6	<create graph type statement>
12.7	<drop graph type statement>
12.8	<call catalog-modifying procedure statement>
13	Data-modifying statements
13.1	<linear data-modifying statement>
13.2	<insert statement>
13.3	<set statement>
13.4	<remove statement>
13.5	<delete statement>
13.6	<call data-modifying procedure statement>
14	Query statements
14.1	<composite query statement>
14.2	<composite query expression>
14.3	<linear query statement> and <simple query statement>
14.4	<match statement>
14.5	<call query statement>
14.6	<filter statement>
14.7	<let statement>
14.8	<for statement>
14.9	<order by and page statement>
14.10	<primitive result statement>
14.11	<return statement>
14.12	<select statement>
15	Procedure calling
15.1	<call procedure statement> and <procedure call>
15.2	<inline procedure call>
15.3	<named procedure call>
16	Common elements
16.1	<at schema clause>
16.2	<use graph clause>
16.3	<graph pattern binding table>
16.4	<graph pattern>
16.5	<insert graph pattern>
16.6	<path pattern prefix>
16.7	<path pattern expression>
16.8	<label expression>
16.9	<path variable reference>
16.10	<element variable reference>
16.11	<graph pattern quantifier>
16.12	<simplified path pattern expression>
16.13	<where clause>
16.14	<yield clause>
16.15	<group by clause>
16.16	<order by clause>
16.17	<sort specification list>
16.18	<limit clause>
16.19	<offset clause>
17	Object references
17.1	<schema reference> and <catalog schema parent and name>
17.2	<graph reference> and <catalog graph parent and name>
17.3	<graph type reference> and <catalog graph type parent and name>
17.4	<binding table reference> and <catalog binding table parent and name>
17.5	<procedure reference> and <catalog procedure parent and name>
17.6	<catalog object parent reference>
17.7	<reference parameter specification>
17.8	<external object reference>
18	Type elements
18.1	<nested graph type specification>
18.2	<node type specification>
18.3	<edge type specification>
18.4	<label set phrase> and <label set specification>
18.5	<property types specification>
18.6	<property type>
18.7	<property value type>
18.8	<binding table type>
18.9	<value type>
18.10	<field type>
19	Predicates
19.1	<search condition>
19.2	<predicate>
